SourceFile,FileName,ImageSize,DateTimeOriginal,ImageWidth,ImageHeight,year,month,day,time
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/090519_2892.jpg,1632 1224,2009:05:19 08:08:29,1632,1224,2009,5,19,08:08
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/090519_4982.jpg,1732 1155,2009:05:19 06:28:52,1732,1155,2009,5,19,06:28
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/090519_5033.jpg,1732 1155,2009:05:19 08:01:49,1732,1155,2009,5,19,08:01
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/111216_1013201.jpg,1733 1153,2011:12:16 17:24:08,1733,1153,2011,12,16,17:24
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140522_1006053.jpg,1730 1156,2014:05:22 11:58:27,1730,1156,2014,5,22,11:58
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140522_1006091.jpg,1730 1156,2014:05:22 12:18:47,1730,1156,2014,5,22,12:18
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140522_IMG_0173.jpg,1673 1195,2014:05:22 15:15:12,1673,1195,2014,5,22,15:15
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140523_1006217.jpg,1730 1156,2014:05:23 08:42:54,1730,1156,2014,5,23,08:42
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140523_1006249.jpg,1730 1156,2014:05:23 10:32:10,1730,1156,2014,5,23,10:32
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140523_1006300.jpg,1730 1156,2014:05:23 10:52:12,1730,1156,2014,5,23,10:52
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140523_1006309.jpg,1730 1156,2014:05:23 10:53:45,1730,1156,2014,5,23,10:53
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140523_1006310.jpg,1730 1156,2014:05:23 10:54:25,1730,1156,2014,5,23,10:54
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140523_1006315.jpg,1730 1156,2014:05:23 10:55:48,1730,1156,2014,5,23,10:55
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140523_1006391-2.jpg,1730 1156,2014:05:23 11:55:15,1730,1156,2014,5,23,11:55
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140523_1006391.jpg,1730 1156,2014:05:23 11:55:15,1730,1156,2014,5,23,11:55
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140523_1006397.jpg,1730 1156,2014:05:23 12:00:21,1730,1156,2014,5,23,12:00
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140524_1006405.jpg,1730 1156,2014:05:24 08:19:43,1730,1156,2014,5,24,08:19
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140524_1006415.jpg,1730 1156,2014:05:24 08:24:17,1730,1156,2014,5,24,08:24
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140524_1006426.jpg,1730 1156,2014:05:24 08:28:07,1730,1156,2014,5,24,08:28
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140524_1006435.jpg,1730 1156,2014:05:24 08:34:24,1730,1156,2014,5,24,08:34
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140524_1006471.jpg,1730 1156,2014:05:24 08:49:45,1730,1156,2014,5,24,08:49
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140524_1006560.jpg,1730 1156,2014:05:24 10:34:29,1730,1156,2014,5,24,10:34
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140525_1006689.jpg,1730 1156,2014:05:25 10:08:05,1730,1156,2014,5,25,10:08
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140526_1006733.jpg,1730 1156,2014:05:26 04:29:34,1730,1156,2014,5,26,04:29
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140526_1006758.jpg,1730 1156,2014:05:26 10:11:26,1730,1156,2014,5,26,10:11
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140526_1006763.jpg,1730 1156,2014:05:26 10:48:08,1730,1156,2014,5,26,10:48
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140526_1006776.jpg,1730 1156,2014:05:26 10:54:25,1730,1156,2014,5,26,10:54
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140526_1006797.jpg,1730 1156,2014:05:26 11:05:33,1730,1156,2014,5,26,11:05
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140526_1006832.jpg,1730 1156,2014:05:26 11:43:23,1730,1156,2014,5,26,11:43
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140526_1006855.jpg,1730 1156,2014:05:26 12:48:07,1730,1156,2014,5,26,12:48
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140526_1006872.jpg,1730 1156,2014:05:26 12:59:59,1730,1156,2014,5,26,12:59
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140526_1006874.jpg,1730 1156,2014:05:26 13:00:17,1730,1156,2014,5,26,13:00
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140526_1006878.jpg,1730 1156,2014:05:26 13:01:29,1730,1156,2014,5,26,13:01
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140526_1006893.jpg,1730 1156,2014:05:26 13:08:27,1730,1156,2014,5,26,13:08
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140526_1006930.jpg,1730 1156,2014:05:26 13:40:06,1730,1156,2014,5,26,13:40
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140528_IMG_0409-2.jpg,2113 946,2014:05:28 18:59:42,2113,946,2014,5,28,18:59
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140528_IMG_0409.jpg,1732 1155,2014:05:28 18:59:42,1732,1155,2014,5,28,18:59
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140708_1007536.jpg,1730 1156,2014:07:08 09:09:44,1730,1156,2014,7,8,09:09
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140708_1007551.jpg,1730 1156,2014:07:08 10:37:49,1730,1156,2014,7,8,10:37
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140708_1007556.jpg,1730 1156,2014:07:08 10:47:36,1730,1156,2014,7,8,10:47
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140708_1007576.jpg,1730 1156,2014:07:08 11:23:33,1730,1156,2014,7,8,11:23
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140708_1007581.jpg,1730 1156,2014:07:08 11:33:46,1730,1156,2014,7,8,11:33
temp/current_image.jpg,photos/Malde_Images/Haiti Images - Pradip Malde/140708_1007595.jpg,1730 1156,2014:07:08 11:44:23,1730,1156,2014,7,8,11:44
temp/current_image.jpg,photos/Malde_Images/SDI_Haiti_Trial-1/20090101-112_7751.jpg,2048 1536,2009:01:01 12:21:47,2048,1536,2009,1,1,12:21
